ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
MZ0071,MZ,2011,3334,332710,MO,Aluminum castings,92160,1728000
MZ0072,MZ,2012,2759,323111,KS,printed labels,2248421,23742566
MZ0073,MZ,2011,2759,323111,MO,laminated paper products,159763,2299200
MZ0074,MZ,2011,2711,511110,MO,printing services,129124,3181495
MZ0075,MZ,2012,2732,323120,MO,books,623822,9409837
MZ0076,MZ,2012,2819,325998,MO,chemical,1075730,13446620
MZ0077,MZ,2011,3334,333414,MO,nonferrous sheet metal parts,644933,9347200
MZ0078,MZ,2012,2759,323111,MO,commercial printing,513977,7175063
MZ0080,MZ,2012,2752,323111,MO,vinyl vinders and cases,103124,610200
MZ0081,MZ,2012,3365,331524,MO,castings,332034,5004600
MZ0082,MZ,2012,2281,313110,MO,fiber strings,142670,2827677
MZ0083,MZ,2012,2834,325412,MO,pharmaceutical,94716,1339205
MZ0084,MZ,2012,7534,326212,MO,tire retrading,72450,572605
MZ0085,MZ,2012,3479,332812,MO,zinc and plated fixtures,84441,1472920
MZ0087,MZ,2012,3363,331524,MO,Aluminum castings,405565,7174810
MZ0088,MZ,2012,3585,333415,MO,HVAC parts,217294,2938282
MZ0089,MZ,2012,3365,331315,MO,Aluminum castings,626264,7040200
MZ0090,MZ,2012,2891,325520,MO,Butyl rubber industrial compunds,29185,393960
MZ0091,MZ,2012,3699,335999,MO,electrical heaters,354959,3770053
MZ0092,MZ,2012,2024,311520,MO,Ice Cream Novelty items,428476,17092800
MZ0093,MZ,2012,3495,332613,TN,metal springs,634052,9861800
MZ0094,MZ,2012,3612,335311,MO,Electrical Insulators,85892,2445223
MZ0095,MZ,2012,3365,331524,MO,Aluminum castings,63670,675300
MZ0096,MZ,2012,3469,332119,MO,Electric motor parts,278808,5118520
MZ0097,MZ,2012,3519,333618,MO,Small air cooled gas powered engines,2686985,40392000
MZ0098,MZ,2012,2671,326112,MO,Flexible Packaging,1287245,28425600
MZ0099,MZ,2012,3341,335912,MO,lead acid battery recycling,346629,6780552
MZ0100,MZ,2012,3613,335313,MO,low voltage circuit breakers,459403,5707390
MZ0101,MZ,2012,3052,326220,MO,Rubber & Plastics Hose & Belting ,201251,2886000
MZ0102,MZ,2012,2515,337910,TN,mattresses,59457,599900
MZ0103,MZ,2013,3089,326199,MO,Flexible Vinyl,325191,5445600
MZ0104,MZ,2012,3317,331210,AR,steel pipes,2369061,67657621
MZ0105,MZ,2012,2821,236210,MO,"solvents, resins, monomers",473476,7066804
MZ0106,MZ,2012,3691,335911,MO,industrial batteries,2722038,50755282
