id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
DL0053,DL,2010,2834.0,325412.0,DE,Pharmaceuticals,3618409.0,35762484.0
DL0054,DL,2010,2514.0,337110.0,DE,Bathroom Fixtures,1163640.0,10094400.0
DL0055,DL,2010,2086.0,312111.0,PA,Carbonated/Non-carbonated Beverage,465000.0,7472000.0
DL0056,DL,2010,2992.0,324191.0,NJ,Lubricating Oils,743199.0,9075138.0
DL0057,DL,2010,2099.0,311423.0,DE,Dry Packaged Foods,4197946.0,43302360.0
DL0058,DL,2010,3841.0,339112.0,DE,Chromatogrphs and spectrometers,1564256.0,13812707.0
DL0059,DL,2010,5033.0,321219.0,DE,Refractory Insulation Products,38113.0,565800.0
DL0060,DL,2010,3089.0,326199.0,DE,Plastic Containers,899422.0,12474416.0
DL0061,DL,2010,3496.0,325320.0,PA,PEST CONTROL,247094.0,3873976.0
DL0062,DL,2010,2836.0,325414.0,DE,Animal Vaccines,1511947.0,14389115.0
DL0063,DL,2010,2091.0,311710.0,NJ,"Canned clams, chowders and broths.",516568.0,3716200.0
DL0064,DL,2011,2086.0,312111.0,NJ,soft drinks,466075.0,3668963.0
DL0065,DL,2011,3399.0,331492.0,NJ,"Magnesium chips, powders and pieces.",443381.0,2450970.0
DL0066,DL,2011,2099.0,311999.0,MD,Bread Crumbs,557960.0,5534939.0
DL0067,DL,2011,3826.0,334516.0,DE,Thermal Analyzers,336700.0,3318700.0
DL0068,DL,2011,3711.0,336111.0,DE,Motor Vehicles,960000.0,12000000.0
DL0069,DL,2011,3322.0,331511.0,PA,molten metal,2103604.0,27450000.0
DL0070,DL,2011,2676.0,322291.0,DE,Baby Wipes,1712944.0,15750000.0
DL0071,DL,2011,3089.0,326113.0,DE,extruded thermoplastics,136160.0,1215720.0
DL0072,DL,2011,2015.0,311615.0,DE,Poultry Products (Roasters),2710867.0,31521714.0
DL0073,DL,2011,3711.0,336111.0,DE,Automobiles,4800000.0,60000000.0
DL0074,DL,2011,3089.0,326199.0,MD,"Fiberglass reinforced plastic (FRP) tanks, vessels, equipment, pipe and ",56421.0,451121.0
DL0075,DL,2011,3843.0,339114.0,DE,Dental Impression Material,1073366.0,8610480.0
DL0076,DL,2011,2865.0,325130.0,DE,DPP and QA Crude pigments,1486707.0,22094558.0
DL0077,DL,2011,2752.0,323111.0,NY,Newspapers,1366850.0,15532400.0
DL0078,DL,2011,2631.0,322130.0,PA,Recycled press Fiberboard,3199591.0,44102220.0
DL0079,DL,2011,3728.0,336413.0,DE,"Fuel Tanks, Aircraft Interior Completions and Maintenance",321207.0,2899759.0
DL0080,DL,2012,2631.0,322130.0,MD,corrugated containers,264000.0,3200000.0
DL0081,DL,2012,2015.0,311615.0,DE,Poultry Products,2575902.0,27897000.0
